DATAFLOW,LAST UPDATE,freq,indic_bt,cpa2_1,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2002-04,69.2,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2002-05,70.0,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2002-06,70.0,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2002-07,69.9,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2002-08,69.8,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2002-09,69.8,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2002-10,69.8,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2002-11,69.9,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2002-12,70.0,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2003-01,70.4,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2003-02,70.5,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2003-03,70.6,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2003-04,70.6,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2003-05,71.6,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2003-06,71.7,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2003-07,71.7,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2003-08,71.7,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2003-09,71.8,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2003-10,72.0,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2003-11,72.2,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2003-12,72.2,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2004-01,73.1,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2004-02,73.3,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2004-03,74.1,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2004-04,74.7,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2004-05,75.3,s
ESTAT:STS_COPI_M(1.0),11/05/23 11:00:00,M,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2004-06,75.3,s
