price,floor_area,beds,baths,property_type,floor_area_unit,price_sq_mt
349000.0,242.0,5.0,3.0,Detached,m²,1442.0
375000.0,195.0,5.0,3.0,Detached,m²,1923.0
225000.0,121.0,3.0,1.0,Detached,m²,1860.0
495000.0,206.0,6.0,5.0,Detached,m²,2403.0
395000.0,65.0,2.0,1.0,Apartment,m²,6077.0
205000.0,78.0,2.0,2.0,Apartment,m²,2628.0
385000.0,142.0,4.0,3.0,Detached,m²,2711.0
225000.0,102.0,3.0,3.0,Semi-D,m²,2206.0
222500.0,100.0,3.0,3.0,Semi-D,m²,2225.0
550000.0,182.0,4.0,2.0,Detached,m²,3022.0
340000.0,180.0,5.0,3.0,Detached,m²,1889.0
565000.0,130.0,3.0,3.0,Semi-D,m²,4346.0
255000.0,112.0,4.0,3.0,Semi-D,m²,2277.0
295000.0,89.0,3.0,3.0,Semi-D,m²,3315.0
440000.0,100.0,2.0,2.0,Apartment,m²,4400.0
215000.0,52.0,2.0,2.0,Apartment,m²,4135.0
1300000.0,235.0,7.0,2.0,Detached,m²,5532.0
350000.0,158.0,4.0,2.0,Detached,m²,2215.0
615000.0,174.0,5.0,3.0,Detached,m²,3534.0
320000.0,68.0,2.0,2.0,Apartment,m²,4706.0
210000.0,94.0,3.0,3.0,Semi-D,m²,2234.0
1495000.0,282.0,4.0,5.0,Detached,m²,5301.0
290000.0,58.0,2.0,1.0,Apartment,m²,5000.0
240000.0,45.0,1.0,1.0,Apartment,m²,5333.0
225000.0,154.0,5.0,4.0,Semi-D,m²,1461.0
365000.0,135.0,4.0,2.0,Semi-D,m²,2704.0
325000.0,46.0,1.0,1.0,Apartment,m²,7065.0
695000.0,220.0,3.0,4.0,Semi-D,m²,3159.0
330000.0,96.0,3.0,3.0,Semi-D,m²,3438.0
325000.0,82.0,3.0,1.0,Semi-D,m²,3963.0
289000.0,101.0,3.0,2.0,Semi-D,m²,2861.0
269000.0,48.0,2.0,1.0,Apartment,m²,5604.0
410000.0,223.0,4.0,2.0,Detached,m²,1839.0
335000.0,143.0,4.0,2.0,Detached,m²,2343.0
925000.0,110.0,3.0,1.0,Semi-D,m²,8409.0
295000.0,212.0,4.0,3.0,Detached,m²,1392.0
295000.0,109.0,3.0,3.0,Semi-D,m²,2706.0
345000.0,117.0,4.0,2.0,Detached,m²,2949.0
525000.0,176.0,4.0,4.0,Detached,m²,2983.0
220000.0,121.0,4.0,2.0,Semi-D,m²,1818.0
435000.0,112.0,3.0,2.0,Semi-D,m²,3884.0
1600000.0,425.0,5.0,5.0,Detached,m²,3765.0
350000.0,133.0,4.0,3.0,Semi-D,m²,2632.0
275000.0,88.0,2.0,1.0,Detached,m²,3125.0
275000.0,250.0,5.0,2.0,Detached,m²,1100.0
380000.0,109.0,4.0,2.0,Semi-D,m²,3486.0
425000.0,114.0,3.0,2.0,Semi-D,m²,3728.0
259000.0,81.0,3.0,1.0,Semi-D,m²,3198.0
340000.0,1440.0,4.0,2.0,Semi-D,m²,236.0
295000.0,121.0,5.0,3.0,Semi-D,m²,2438.0
235000.0,124.0,4.0,2.0,Detached,m²,1895.0
245000.0,115.0,4.0,3.0,Detached,m²,2130.0
450000.0,200.0,4.0,2.0,Detached,m²,2250.0
395000.0,131.0,3.0,1.0,Detached,m²,3015.0
445000.0,144.0,4.0,4.0,Semi-D,m²,3090.0
280000.0,112.0,4.0,3.0,Semi-D,m²,2500.0
775000.0,264.0,4.0,2.0,Detached,m²,2936.0
450000.0,90.0,4.0,3.0,Semi-D,m²,5000.0
295000.0,268.0,4.0,5.0,Detached,m²,1101.0
370000.0,272.0,5.0,6.0,Detached,m²,1360.0
325000.0,163.0,3.0,3.0,Detached,m²,1994.0
330000.0,140.0,5.0,3.0,Semi-D,m²,2357.0
