month,country,residential_price_index,perc_change_prev,perc_change_yoy
2003-08-01,NO,64.9,0.3,2.5
2003-08-01,PL,82.5,0.0,-0.6
2003-08-01,PT,79.2,-0.3,0.5
2003-09-01,AT,71.8,0.1,2.9
2003-09-01,ES,73.6,0.0,2.2
2003-09-01,FI,76.5,-0.1,1.9
2003-09-01,IE,90.1,1.9,12.1
2003-09-01,LT,64.6,-0.8,0.9
2003-09-01,NL,81.3,0.0,1.1
2003-09-01,NO,65.0,0.2,2.5
2003-09-01,PL,82.5,0.0,-0.6
2003-09-01,PT,79.3,0.1,0.9
2003-10-01,AT,72.0,0.3,3.2
2003-10-01,ES,73.0,-0.8,1.2
2003-10-01,FI,76.3,-0.3,1.5
2003-10-01,IE,90.9,0.9,11.1
2003-10-01,LT,63.8,-1.2,0.3
2003-10-01,NL,81.3,0.0,1.2
2003-10-01,NO,65.1,0.2,2.7
2003-10-01,PL,82.6,0.1,-0.2
2003-10-01,PT,79.4,0.1,0.4
2003-11-01,AT,72.2,0.3,3.3
2003-11-01,ES,73.8,1.1,2.5
2003-11-01,FI,76.4,0.1,1.6
2003-11-01,IE,90.3,-0.7,10.5
2003-11-01,LT,65.1,2.0,1.7
2003-11-01,NL,81.2,-0.1,1.1
2003-11-01,NO,65.1,0.0,2.7
2003-11-01,PL,82.7,0.1,0.2
2003-11-01,PT,79.1,-0.4,0.5
2003-12-01,AT,72.2,0.0,3.1
2003-12-01,ES,73.1,-0.9,1.4
2003-12-01,FI,76.3,-0.1,1.6
2003-12-01,IE,91.2,1.0,10.9
2003-12-01,LT,65.0,-0.2,2.7
2003-12-01,NL,81.2,0.0,1.1
2003-12-01,NO,65.5,0.6,2.3
2003-12-01,PL,82.9,0.2,0.9
2003-12-01,PT,79.2,0.1,0.9
2004-01-01,AT,73.1,1.2,3.8
2004-01-01,ES,73.6,0.7,1.1
2004-01-01,FI,76.5,0.3,1.3
2004-01-01,IE,92.0,0.9,12.5
2004-01-01,LT,64.6,-0.6,4.2
2004-01-01,NL,80.4,-1.0,-0.7
2004-01-01,NO,65.7,0.3,2.2
2004-01-01,PL,83.0,0.1,0.7
2004-01-01,PT,79.3,0.1,1.0
2004-02-01,AT,73.3,0.3,4.0
2004-02-01,ES,74.1,0.7,1.2
2004-02-01,FI,76.6,0.1,1.3
2004-02-01,IE,93.7,1.8,13.4
2004-02-01,LT,65.1,0.8,4.0
2004-02-01,NL,80.8,0.5,-0.2
2004-02-01,NO,65.8,0.2,1.9
2004-02-01,PL,83.2,0.2,1.0
2004-02-01,PT,79.9,0.8,1.3
2004-03-01,AT,74.1,1.1,5.0
2004-03-01,ES,75.1,1.3,3.7
2004-03-01,FI,77.1,0.7,1.3
2004-03-01,IE,94.8,1.2,13.1
2004-03-01,LT,65.2,0.2,4.2
2004-03-01,NL,81.3,0.6,0.2
2004-03-01,NO,66.1,0.5,2.0
2004-03-01,PL,83.4,0.2,1.7
2004-03-01,PT,81.5,2.0,2.9
2004-04-01,AT,74.7,0.8,5.8
2004-04-01,ES,75.8,0.9,3.7
2004-04-01,FI,77.5,0.5,1.7
2004-04-01,IE,95.4,0.6,11.6
2004-04-01,LT,66.6,2.1,5.0
2004-04-01,NL,81.8,0.6,0.9
2004-04-01,NO,66.4,0.5,2.6
2004-04-01,PL,83.7,0.4,1.7
2004-04-01,PT,83.4,2.3,4.3
2004-05-01,AT,75.3,0.8,5.2
2004-05-01,ES,77.0,1.6,5.5
2004-05-01,FI,77.7,0.3,1.8
2004-05-01,IE,96.4,1.0,12.0
2004-05-01,LT,68.3,2.6,6.4
2004-05-01,NL,81.8,0.0,0.9
2004-05-01,NO,66.5,0.2,2.8
2004-05-01,PL,84.2,0.6,2.2
2004-05-01,PT,83.2,-0.2,4.3
2004-06-01,AT,75.3,0.0,5.0
2004-06-01,ES,76.9,-0.1,5.5
2004-06-01,FI,78.2,0.6,2.4
2004-06-01,IE,97.4,1.0,14.6
2004-06-01,LT,68.4,0.1,6.2
2004-06-01,NL,81.8,0.0,0.9
2004-06-01,NO,66.8,0.5,3.2
2004-06-01,PL,84.6,0.5,2.5
2004-06-01,PT,83.2,0.0,4.9
2004-07-01,AT,75.4,0.1,5.2
2004-07-01,ES,77.1,0.3,5.6
2004-07-01,FI,78.4,0.3,2.5
2004-07-01,IE,98.4,1.0,14.2
2004-07-01,LT,69.6,1.8,8.2
2004-07-01,NL,82.2,0.5,1.1
2004-07-01,NO,67.0,0.3,3.6
2004-07-01,PL,85.0,0.5,3.0
2004-07-01,PT,83.4,0.2,5.0
2004-08-01,AT,75.5,0.1,5.3
2004-08-01,ES,77.5,0.5,5.3
2004-08-01,FI,78.7,0.4,2.7
2004-08-01,IE,99.7,1.3,12.8
2004-08-01,LT,69.8,0.3,7.2
2004-08-01,NL,82.2,0.0,1.1
2004-08-01,NO,67.1,0.1,3.4
2004-08-01,PL,85.3,0.4,3.4
2004-08-01,PT,83.1,-0.4,4.9
2004-09-01,AT,75.8,0.4,5.6
2004-09-01,ES,77.7,0.3,5.6
2004-09-01,FI,78.7,0.0,2.9
2004-09-01,IE,101.2,1.5,12.3
2004-09-01,LT,70.2,0.6,8.7
2004-09-01,NL,82.0,-0.2,0.9
2004-09-01,NO,67.2,0.1,3.4
2004-09-01,PL,85.8,0.6,4.0
2004-09-01,PT,83.2,0.1,4.9
2004-10-01,AT,76.1,0.4,5.7
2004-10-01,ES,77.5,-0.3,6.2
2004-10-01,FI,79.0,0.4,3.5
2004-10-01,IE,101.9,0.7,12.1
2004-10-01,LT,71.2,1.4,11.6
2004-10-01,NL,82.2,0.2,1.1
2004-10-01,NO,67.3,0.1,3.4
2004-10-01,PL,85.9,0.1,4.0
2004-10-01,PT,84.0,1.0,5.8
2004-11-01,AT,76.2,0.1,5.5
2004-11-01,ES,78.1,0.8,5.8
2004-11-01,FI,79.1,0.1,3.5
2004-11-01,IE,101.6,-0.3,12.5
2004-11-01,LT,71.1,-0.1,9.2
2004-11-01,NL,82.1,-0.1,1.1
2004-11-01,NO,67.4,0.1,3.5
2004-11-01,PL,86.2,0.3,4.2
2004-11-01,PT,83.4,-0.7,5.4
2004-12-01,AT,76.2,0.0,5.5
2004-12-01,ES,78.0,-0.1,6.7
2004-12-01,FI,79.2,0.1,3.8
2004-12-01,IE,102.4,0.8,12.3
2004-12-01,LT,70.9,-0.3,9.1
2004-12-01,NL,82.0,-0.1,1.0
2004-12-01,NO,68.0,0.9,3.8
2004-12-01,PL,86.4,0.2,4.2
2004-12-01,PT,83.1,-0.4,4.9
2005-01-01,AT,76.5,0.4,4.7
2005-01-01,ES,79.6,2.1,8.2
2005-01-01,FI,79.6,0.5,4.1
2005-01-01,IE,102.8,0.4,11.7
2005-01-01,LT,71.1,0.3,10.1
2005-01-01,NL,82.3,0.4,2.4
2005-01-01,NO,68.2,0.3,3.8
2005-01-01,PL,86.5,0.1,4.2
2005-01-01,PT,82.4,-0.8,3.9
2005-02-01,AT,76.5,0.0,4.4
2005-02-01,ES,79.9,0.4,7.8
2005-02-01,FI,79.8,0.3,4.2
2005-02-01,IE,103.4,0.6,10.4
2005-02-01,LT,71.2,0.1,9.4
2005-02-01,NL,82.6,0.4,2.2
2005-02-01,NO,68.3,0.1,3.8
2005-02-01,PL,86.6,0.1,4.1
2005-02-01,PT,82.7,0.4,3.5
2005-03-01,AT,76.5,0.0,3.2
2005-03-01,ES,79.8,-0.1,6.3
2005-03-01,FI,80.1,0.4,3.9
2005-03-01,IE,103.5,0.1,9.2
2005-03-01,LT,70.9,-0.4,8.7
2005-03-01,NL,82.6,0.0,1.6
2005-03-01,NO,68.6,0.4,3.8
2005-03-01,PL,86.8,0.2,4.1
2005-03-01,PT,82.8,0.1,1.6
2005-04-01,AT,76.5,0.0,2.4
2005-04-01,ES,79.8,0.0,5.3
2005-04-01,FI,80.7,0.7,4.1
2005-04-01,IE,104.1,0.6,9.1
2005-04-01,LT,71.8,1.3,7.8
2005-04-01,NL,82.7,0.1,1.1
2005-04-01,NO,68.7,0.1,3.5
2005-04-01,PL,87.0,0.2,3.9
2005-04-01,PT,83.9,1.3,0.6
2005-05-01,AT,76.9,0.5,2.1
2005-05-01,ES,79.9,0.1,3.8
2005-05-01,FI,80.8,0.1,4.0
2005-05-01,IE,105.0,0.9,8.9
2005-05-01,LT,72.5,1.0,6.1
2005-05-01,NL,82.6,-0.1,1.0
2005-05-01,NO,68.9,0.3,3.6
2005-05-01,PL,87.1,0.1,3.4
2005-05-01,PT,83.9,0.0,0.8
2005-06-01,AT,76.5,-0.5,1.6
2005-06-01,ES,80.0,0.1,4.0
2005-06-01,FI,80.8,0.0,3.3
2005-06-01,IE,105.4,0.4,8.2
2005-06-01,LT,73.7,1.7,7.7
2005-06-01,NL,82.6,0.0,1.0
2005-06-01,NO,68.9,0.0,3.1
2005-06-01,PL,87.3,0.2,3.2
2005-06-01,PT,83.7,-0.2,0.6
2005-07-01,AT,76.5,0.0,1.5
2005-07-01,ES,80.0,0.0,3.8
2005-07-01,FI,81.0,0.2,3.3
2005-07-01,IE,106.5,1.0,8.2
2005-07-01,LT,74.8,1.5,7.5
2005-07-01,NL,82.8,0.2,0.7
2005-07-01,NO,69.0,0.1,3.0
2005-07-01,PL,87.4,0.1,2.8
2005-07-01,PT,84.5,1.0,1.3
2005-08-01,AT,76.5,0.0,1.3
2005-08-01,ES,80.0,0.0,3.2
2005-08-01,FI,81.1,0.1,3.0
2005-08-01,IE,106.6,0.1,6.9
2005-08-01,LT,75.0,0.3,7.4
2005-08-01,NL,82.9,0.1,0.9
2005-08-01,NO,69.2,0.3,3.1
2005-08-01,PL,87.6,0.2,2.7
2005-08-01,PT,84.9,0.5,2.2
2005-09-01,AT,76.6,0.1,1.1
2005-09-01,ES,80.3,0.4,3.3
2005-09-01,FI,81.2,0.1,3.2
2005-09-01,IE,107.2,0.6,5.9
2005-09-01,LT,76.1,1.5,8.4
2005-09-01,NL,83.1,0.2,1.3
2005-09-01,NO,69.3,0.1,3.1
2005-09-01,PL,87.8,0.2,2.3
2005-09-01,PT,84.8,-0.1,1.9
2005-10-01,AT,76.9,0.4,1.1
2005-10-01,ES,80.4,0.1,3.7
2005-10-01,FI,81.0,-0.2,2.5
2005-10-01,IE,108.8,1.5,6.8
2005-10-01,LT,77.1,1.3,8.3
2005-10-01,NL,83.3,0.2,1.3
2005-10-01,NO,69.4,0.1,3.1
2005-10-01,PL,87.9,0.1,2.3
2005-10-01,PT,85.6,0.9,1.9
2005-11-01,AT,77.2,0.4,1.3
2005-11-01,ES,80.7,0.4,3.3
2005-11-01,FI,81.2,0.2,2.7
2005-11-01,IE,110.5,1.6,8.8
2005-11-01,LT,77.3,0.3,8.7
2005-11-01,NL,83.2,-0.1,1.3
2005-11-01,NO,70.0,0.9,3.9
2005-11-01,PL,87.8,-0.1,1.9
2005-11-01,PT,85.4,-0.2,2.4
2005-12-01,AT,77.2,0.0,1.3
2005-12-01,ES,80.9,0.2,3.7
2005-12-01,FI,81.5,0.4,2.9
2005-12-01,IE,112.7,2.0,10.1
2005-12-01,LT,77.4,0.1,9.2
2005-12-01,NL,83.2,0.0,1.5
2005-12-01,NO,70.0,0.0,2.9
2005-12-01,PL,87.9,0.1,1.7
2005-12-01,PT,84.8,-0.7,2.0
2006-01-01,AT,77.9,0.9,1.8
2006-01-01,ES,83.0,2.6,4.3
2006-01-01,FI,82.0,0.6,3.0
2006-01-01,IE,110.9,-1.6,7.9
2006-01-01,LT,77.7,0.4,9.3
